id|Tag|Authors|Year|Title|Journal|No|Pages|DOI|Link|Comment
95|Obrebski2006|Obrebski, M., Castro, R.R., Valenzuela, R.W., van Benthem, S., Rebollar, C.J.|2006|Shear-wave splitting observations at the regions of northern Baja California and southern Basin and Range in Mexico|Geophys. Res. Lett.|33|L05302|10.1029/2005GL024720| | 
96|Herquel2005|Herquel, G., Tapponier, P.|2005|Seismic anisotropy in western Tibet|Geophys. Res. Lett.|32| |doi:10.1029/2005GL023561| |Rotation Correlation
97|Restivo1999|Restivo, A., Helffrich, G.|1999|Teleseismic shear wave splitting measurements in noisy environments|Geophys. J. Int.|137|821-830|10.1046/j.1365-246x.1999.00845.x|http://www.blackwell-synergy.com/doi/full/10.1046/j.1365-246x.1999.00845.x|Wolfe & Silver (1998) stacking technique applied to individual seismograms' Silver & Chan (1991) splitting measurements
98|Singh2006|Singh, A., Kumar, M.R., Raju, P.S., Ramesh, D.S.|2006|Shear wave anisotropy of the northeast Indian lithosphere|Geophys. Res. Lett.|33| |10.1029/2006GL026106| |Wolfe & Silver (1998) stacking method
99|Herquel1999|Herquel, G., Tapponnier, P., Wittlinger, G., Mei, J., Danian, S.|1999|Teleseismic shear wave splitting and lithospheric anisotropy beneath and across the Altyngh Tagh fault|Geophys. Res. Lett.|26|3225-3228| | |Rotation Correlation
100|Assumpcao2006|Assumpcao, M., Heintz, M., Vauchez, A., Egydio Silva, M.|2006|Upper mantle anisotropy in SE and Central Brazil from SKS splitting: Evidence of asthenospheric flow around a cratonic keel|Earth Planet. Sci. Lett.|250|224-240|10.1016/j.epsl.2006.07.038| |Silver and Chan (1991)
101|Heintz_Brazil_2003|Heintz, M., Vauchez, A., Assumpcao, M., Barruol, G., Egydio-Silva, M.|2003|Shear wave splitting in SE Brazil: an effect of active or fossil upper mantle flow, or both?|Earth Planet. Sci. Lett.|211|79-95|10.1016/S0012-821X(03)00163-8|http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6V61-48JK2R6-2&_user=2402213&_coverDate=06%2F15%2F2003&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000041118&_version=1&_urlVersion=0&_userid=2402213&md5=460cbfda7664a6d67d6c2bc6eeda4725|Silver and Chan (1991)
102|Heintz_Australie_2005|Heintz, M, Kennett, B.L.N.|2005|Continental scale shear wave splitting analysis: Investigation of seismic anisotropy underneath the Australian continent|Earth Planet. Sci. Lett.|236|106-119|10.1016/j.epsl.2005.05.003|http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6V61-4GFNG7W-7&_user=2402213&_coverDate=07%2F30%2F2005&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000041118&_version=1&_urlVersion=0&_userid=2402213&md5=b823268d5098ffa9ac3f4f5b049d5445|Wolfe and Silver (1998)
103|Lev_Tibet_2006|Lev, E., Long, D.M., Van Der Hilst, R.D.|2006|Seismic anisotropy in Eastern Tibet from shear wave splitting reveals changes in lithospheric deformation|Earth Planet. Sci. Lett|251|293-304|10.1016/j.epsl.2006.09.018|http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6V61-4M4KR3D-1&_user=2402213&_coverDate=11%2F15%2F2006&_alid=589026279&_rdoc=1&_fmt=full&_orig=search&_cdi=5801&_sort=d&_docanchor=&view=c&_ct=32&_acct=C000041118&_version=1&_urlVersion=0&_userid=2402213&md5=76164ab0acc31a4b8c3c60879890c3c0#secx3|Cross-correlation and multichannel
104|Walker_nevada_2004|Walker, T.K., Bokelmann, G.H.R., Klemperer, S.L.|2004|Shear-wave splitting beneath the Snake River Plain suggests a mantle upwelling beneath eastern Nevada, USA|Earth Planet. Sci. Lett.|222|529-542|10.1016/j.epsl.2004.03.024|http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6V61-4CDYCBV-3&_user=2402213&_coverDate=05%2F30%2F2004&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000041118&_version=1&_urlVersion=0&_userid=2402213&md5=e7d53a5b2411a0cce80ed47090e65910|
105|Li_Island_2005|Li, A., Detrick, R.S.|2003|Azimuthal anisotropy and phase velocity beneath Iceland: implication for plume-ridge interaction|Earth Planet. Sci. Lett.|214|153-165|10.1016/S0012-821X(03)00382-0|http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6V61-499F708-3&_user=2402213&_coverDate=09%2F10%2F2003&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000041118&_version=1&_urlVersion=0&_userid=2402213&md5=283dc3f16a3f82f1de68b041da0e7a4c|Wolfe and Silver (1998) and Silver and Chan (1991)
106|Audoine_New_Zealand_2004|Audoine, E., Savage, M.K.|2004|Anisotropic structure under a back arc spreading|J. Geophys. Res|109| |10.1029/2003JB002932|http://www.agu.org/journals/jb/jb0411/2003JB002932/|Wolfe and Silver (1998)
107|Klosko_new_zealand_1999|Klosko, E.R., Wu, F.T., Anderson, H.J., Eberhart-Phillips, D., McEvilly, T.V., Audoine, E., Savage M.K., Gledhill, K.R.|1999|Upper mantle anisotropy in the New Zealand region|Geoph. Res. Let|26|1497-1500| |http://www.agu.org/pubs/crossref/1999/1999GL900273.shtml|Wolfe and Silver (1998)
108|Waite_USA_2005|Waite, G.P., Schutt, D.L., Smith, R.B.|2005|Models of lithosphere and asthenosphere anisotropic structure of the Yellowstone hot spot from shear wave splitting|J. Geophys. Res|110| |10.1029/2004JB003501|http://www.agu.org/pubs/crossref/2005.../2004JB003501.shtml| 
109|Evans_north_america_2006|Evans, M.S., Kendall, J.-M., Willemann, R.J.|2006|Automated SKS splitting and upper-mantle anisotropy beneath Canadian seismic stations|Geophys. J. int.|165|931-942|10.1111/j.1365-246X.2006.02973.x|http://www.blackwell-synergy.com/doi/pdf/10.1111/j.1365-246X.2006.02973.x|Silver and Chan Eigenvalue Automatic method
110|Schmid_mediterranean_2004|Schmid, C., van der Lee, S., Giardini, D.|2004|Delay times and shear wave splitting in the Mediterranean region|Geophys. J. Int.|159|275-290|10.1111/j.1365-246X.2004.02381.x|http://www.blackwell-synergy.com/doi/full/10.1111/j.1365-246X.2004.02381.x?prevSearch=allfield%3A%28%2B%22shear-wave+splitting%22%2Bsks%29|Silver and Chan (1991)
111|Muller_antartic_2001|Muller, C.|2001|Upper mantle seismic anisotropy beneath Antarctica and the Scotia sea|Geophys. J. Int.|147|105-122|10.1046/j.1365-246X.2001.00517.x|http://www.blackwell-synergy.com/doi/full/10.1046/j.1365-246X.2001.00517.x?prevSearch=allfield%3A%28%2B%22shear-wave+splitting%22%2Bsks%29|Silver and Chan (1991)
112|Long_Japan_2005|Long, M.D., van der Hilst, R.D.|2005|Upper mantle anisotropy beneath Japan from shear wave splitting|Phys. Earth Planet. Int.|151|206-222|10.1016/j.pepi.2005.03.003| |S, SKS and SKKS, Chevrot (2000) method and cross-correlation
113|Kubo_antartica_1996|Kubo, A., Hiramatsu Y., Kanao M.|1996|Possible frozen anisotropy of seismic velocity beneath antartica|30th International Geological Congress Beijing.| | | | |Silver and Chan (1991) method
114|Snyder_slave_craton_2007|Snyder, D., Bruneton, M.|2007|Seismic anisotropy of the Slave craton, NW Canada, from joint interpretation of SKS and Rayleigh waves|Geoph. J. Int.|169|170-188|10.1111/j.1365-246X.2006.03287.x|http://www.blackwell-synergy.com/doi/full/10.1111/j.1365-246X.2006.03287.x?prevSearch=allfield%3A%28snyder+slave+craton%29|Silver and Chan (1991) method
115|Ucisik_Greenland_2005|Ucisik, N., Gudmundsson, O., Priestley, K., Larsen, T.B.|2005|Seismic anisotropy beneath east Greenland revealed by shear wave splitting|Geoph. Res. Let|32| |10.1029/2004GL021875|http://www.agu.org/journals/gl/gl0508/2004GL021875/|Silver and Chan method
116|Babuska_Massif_Central_2002|Babuska, V., Plomerova, J., Vecsey L.|2002|Seismic anisotropy of the French Massif Central and predisposition of Cenozoic rifting and volcanism by Variscan suture hidden in the mantle lithosphere|tectonics|21(4)| |10.1029/2001TC901035|http://www.agu.org/pubs/crossref/2002/2001TC901035.shtml|Silver and Chan (1991) method
117|Hatzfeld_Greece_2001|Hatzfeld, D., Karagianni, E., Kassaras, I., Kiratzi, A., Louvari, E., Lyon-Caen, H., Makropoulos, K., Papadimitriou, P., Bock, G., Priestley, K.|2001|Shear wave anisotropy in the upper mantle beneath the Aegean|J. Geophys. Res.|106(12)|30737-30753| |http://www.agu.org/pubs/crossref/2001/2001JB000387.shtml|Silver and Chan (1991) method
118|Xue_Iceland_2005|Xue, M., Allen, R.M.|2005|Asthenospheric channeling of the Icelandic upwelling: Evidence from seismic anisotropy|Earth Planet. Sci. Lett|235|167-182|10.1016/j.epsl.2005.03.017|http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6V61-4G6J89W-1&_user=2402213&_coverDate=06%2F30%2F2005&_alid=594341924&_rdoc=1&_fmt=full&_orig=search&_cdi=5801&_sort=d&_docanchor=&view=c&_ct=1&_acct=C000041118&_version=1&_urlVersion=0&_userid=2402213&md5=727410e86deb6b6d4e0cb64618eda60f|Silver and Chan (1991) method
119|Iidaka_China_2001|Iidaka, T., Niu, F.|2001|Mantle and crust anisotropy in the eastern China region inferred from waveform splitting of SKS and PpSms|Earh, planets, space|53|159-168| |http://www.terrapub.co.jp/journals/EPS/abstract/5303/53030159.html| 
120|Walker_Eifel_2005|Walker, K.T., Bokelmann, G.H.R., Klemperer, S.L., Bock, G.|2005|Shear-wave splitting around the Eifel hotspot: evidence for a mantle upwelling|Geoph. J. Int.|163|962-980|10.1111/j.1365-246X.2005.02636.x| |Wolfe and Silver (1998) method
121|Judenherc_Britany_2003|Judenherc, S., Granet, M., Brun, J.P., Poupinet, G.|2003|The Hercynian collision in the Armorican Massif: evidence of different lithospheric domains inferred from seismic tomography and anisotropy|Bull. Soc. geol. Fr.|174(1)|45-57|10.2113/174.1.45|http://bsgf.geoscienceworld.org/cgi/content/french_abstract/174/1/45|Silver and Chan (1991) method
122|Gao_Kenya_1997|Gao, S., Davis, P.M., Liu, H., Slack, P.D., Rigor, A.W., Zorin, Y.A., Mordvinova, V.V., Kozhevnikov, V.M., Logatchev, N.A.|1997|SKS splitting beneath continental rift zones|J. Geophys. Res|102(B10)|22,781-22,797| |http://www.agu.org/pubs/crossref/1997/97JB01858.shtml|Silver and Chan (1991) method
123|Senechal_canada_1996|Sénéchal, G., Rondenay, S., Mareschal, M., Guilbert, J., Poupinet, G.|1996|Seismic and electrical anisotropies in the lithosphere across the grenvill Front, Canada|Geoph. Res. Let|23(17)|2255-2258|10.1029/96GL01410|http://www.agu.org/pubs/crossref/1996/96GL01410.shtml|cross correlation method
124|Sol2007|Sol, S., A., Meltzer, R., Burgmann, R.D., van der Hilst, R., King, Z., Chen, P.O., Koons, E., Lev, Y.P., Liu, P.K., Zeitler, X., Zhang, J., Zhang, B., Zurek|2007|Geodynamics of the southeastern Tibetan Plateau from seismic anisotropy and geodesy|Geology|35|563-566| | |Silver and Chan (1991), or Restivo and Helffrich (1999) stacking for noisy stations
125|Singh2007|Singh, A., M.R., Kumar, P.S., Raju|2007|Mantle deformation in Sikkim and adjoining Himalaya: Evidences for a complex flow pattern|Phys. Earth Planet. Int.|164|232-241|doi:210.1016/j.pepi.2007.1007.003| |Silver and Chan (1991) and stack from Wolfe and Silver (1998)
126|Frederiksen2006|Frederiksen, A.W., I.J., Ferguson, D., Eaton, S.K., Miong, E., Gowan|2006|Mantle fabric at multiple scales across an Archean-Proterozoic boundary, Grenville Front, Canada|Phys. Earth Planet. Int.|158|240-263|doi:10.1016/j.pepi.2006.03.025| |Silver and Chan (1991)
127|Bayer2007|Bayer, B., C., Müller, D., Eaton, W., Jokat|2007|Seismic anisotropy beneath Dronning Maud Land, Antarctica, revealed by shear wave splitting|Geoph. J. Int.|171|339-351|doi:10.1111/j.1365-246X.2007.03519.x| |Silver and Chan (1991) and stack from Wolfe and Silver (1998)
129|Kummerow2007|Kummerow, J., Kind, R.|2006|Shear wave splitting in the Eastern Alps observed at the TRANSALP network|Tectonophysics|414|117-125|10.1016/j.tecto.2005.10.023| |Multichannel method (Chevrot, 2000)
130|Zhao2007|Zhao, L., T.Y., Zheng, L., Chen, Q.S., Tang|2007|Shear wave splitting in eastern and central China: Implications for upper mantle deformation beneath continental margin|Phys. Earth Planet. Int.|162|73-84|10.1016/j.pepi.2007.1003.1004| |Silver and Chan (1991) and average values calculated by the authors from the individual measurements provided in the paper
131|Huang2007|Huang, Z., Wang, L., Xu, M., Liu, J., Mi, N., Liu, S.|2007|Shear wave splitting across the Ailao Shan-red River fault zone, SW China|Geophys. Res. Lett.|34| |10.1029/2007GL031236| |Silver and Chan (1991)
132|Fontaine2007|Fontaine, F.R., Barruol, G., Tommasi, A., Bokelmann, G.H.R.|2007|Upper mantle flow beneath French Polynesia from shear-wave-splitting|Geoph. J. Int.|169| |10.1111/j.1365-246X.2007.03475.x| |Silver and Chan (1991)
133|Fu2008|Fu, Y.V., Chen, Y.J., Li, A., Zhou, S., Liang, X., Ye, G., Jin, G., Jiang, M., Ning, J.|2008|Indian mantle corner flow at southern Tibet revealed by shear wave splitting measurements.|Geophysical Research Letter|35| |10.1029/2007GL031753| | 
134|Liu2008|Liu, K.H., Gao, S.S., Gao, Y., Wu, J.|2008|Shear wave splitting and mantle flow associated with the deflected Pacific slab beneath northeast Asia|J. Geophys. Res.|113| |10.1029/2007JB005178| | 
135|Diaz1998|Díaz, J., Gallart, J., Hirn, A., Paulssen, H.|1998|Anisotropy beneath the Iberian Peninsula: the contribution of the ILIHA- NARS broad-band experiment.|Pageoph|151|395-405| | |correlation
136|Kumar2008|Ravi Kumar, M., A., Singh|2008|Evidence for plate motion related strain in the Indian shield from shear wave splitting measurements|J. Geophys. Res.| | |10.1029/2007JB005128| |Silver and Chan (1991)
138|wuestfeld2010|Wuestfeld, A., Bokelmann, G.H.R., Barruol, G.|2010|Evidence for ancient lithospheric deformation in the East European Craton based on mantle seismic anisotropy and crustal magnetics|Tectonophysics|481|16-28| | |SplitLab software (Wuestefeld et al., 2008)
139|Barruol2008|Barruol, G., Deschamps, A., Deverchere, J., Mordvinova, V.V., Ulziibat, M., Perrot, J., Artem'ev, A.A., Dugarmaa, T., Bokelmann, G.H.R.|2008|Upper mantle flow beneath and around the Hangay dome, central Mongolia|Earth Planet. Sci. Lett.|274|221-233|10.1016/j.epsl.2008.07.027| |Silver and Chan (1991), eigenvalues and SplitLab (Wuestefeld et al., 2008) for ULN (2 anisotropic layers) and TLY (complex structure)
140|Buontempo2008|Buontempo, L., G.H.R., Bokelmann, G., Barruol, J., Morales|2008|Seismic Anisotropy Beneath Southern Iberia From SKS Splitting|Earth Planet. Sci. Lett.|273|237-250|10.1016/j.epsl.2008.06.024| |Eigenvalues, Splitlab (Wuestefeld et al., 2008), Means calculated from the median values
141|Sadidkhouy2008|Sadidkhouy, A., G., Javan-Doloei, H.R., Siahkoohi|2008|Seismic anisotropy in the crust and upper mantle of the Central Alborz Region, Iran|Tectonophysics|456|194-205|110.1016/j.tecto.2008.1005.1001| |Silver and Chan (1991) and Teanby et al. (2004)
142|Ivan2008|Ivan, M., M., Popa, D., Ghica|2008|SKS Splitting Observed At Romanian Broad-Band Seismic Network|Tectonophysics| | |10.1016/j.tecto.2007.1012.1015| |Rotation correlation (Ivan, 2000) and Ah_splitest (Levin et al., 1999)
143|Sandvol2003|Sandvol, E.A., N., Turkelli, E., Zor, R., Gok, T., Bekler, C., Gurbuz, D., Seber, M., Barazangi|2003|Shear wave splitting in a young continent-continent collision: an example from eastern Turkey|Geophys. Res. Lett.|30| |10.1029/2003GL017390| |Data reprocessed by M. Bonnin, Geoscience Montpellier, 2007, with SplitLab software (Wuestefeld et al., 2008). Results very similar than the data published by Sandvol et al., 2003.
144|Huang2008|Huang, Z., M., Xu, L., Wang, N., Mi, D., Yu, H., Li|2008|Shear wave splitting in the southern margin of the Ordos Block, north China|Geophys. Res. Lett.|35|L19301|10.1029/2008GL035188| |Silver and Chan (1991)
145|WalkerReply|Walker,K.T., Bokelmann, G.H.R., Klemperer,S.L.|2003|Reply to: Shear-wave splitting to test mantle deformation models around Hawaii by Vinnik et al.|Geophys. Res. Lett.|30(13)|1676|10.1029/2002GL016712|http://www.agu.org/pubs/crossref/2003/2002GL016712.shtml|Correction of H2O and JOHN
146|Gao2008|Gao, S., Liu, K.H., Stern, R.J., Keller, G.R., Hogan, J.P., Pulliam, J., Anthony, E.Y.|2008|Characteristics of mantle fabrics beneath the south-central United States: Constraints from shear-wave splitting measurements|Geosphere|4|411-417|10.1130/GES00159.1| |Silver and Chan (1991)
147|Ucisik2008|Ucisik, N., Gudmundsson, O., Hanka, W., Dahl-Jensen, T.|2008|Variations of shear wave splitting in Greenland: Mantle anisotropy and possible impact of the Iceland plume|Tectonophysics|462|137-148|10.1016/j.tecto.2007.11.074| |Silver and Chan (1991) and Wolfe and Silver (1998) for stacking
148|Pinero2008|Pinero-Feliciangeli, L.T., Kendall, J.M.|2008|Sub-slab mantle flow parallel to the Caribbean plate boundaries: Inferences from SKS splitting|Tectonophysics|462|22-34|10.1016/j.tecto.2008.01.022| |Silver and Chan (1991)
149|Bai2009|Bai, L., Iidaka, T., Kawakatsu, H., Morita, Y., Dzung, N.Q.|2009|Upper mantle anisotropy beneath Indochina block and adjacent regions from shear-wave splitting analysis of Vietnam broadband seismograph array data|Phys. Earth Planet. Int.|176|33-43|10.1016/j.pepi.2009.03.008| |Silver and Chan (1991)
150|Barruol2009|Barruol, G., D., Suetsugu, H., Shiobara, H., Sugioka, S., Tanaka, G.H.R., Bokelmann, F.R., Fontaine, D., Reymond|2009|Mapping Upper Mantle flow Beneath French Polynesia from broadband ocean bottom seismic observations|Geoph. Res. Lett.|36| |10.1029/2009GL038139| |SplitLab software (Wuestefeld et al., 2008), eigenvalue method
151|Barklage2009|Barklage, M., D.A., Wiens, A.A., Nyblade, S., Anandakrishnan|2009|Upper mantle seismic anisotropy of South Victoria Land and Ross Sea coast, Antarctica from SKS and SKKS splitting analysis|Geoph. J. Int.|178|729-741|10.1111/j.1365-246X.2009.04158.x| |Silver and Chan (1991), and Stacking technique (Wolfe & Silver, 1998)
152|Gashawbeza2004|Gashawbeza, E.M., Klemperer, S.L., Nyblade, A.A., Walker, K.T., Keranen, K.M.|2004|Shear-wave splitting in Ethiopia: Precambrian mantle anisotropy locally modified by Neogene rifting|Geophys. Res. Lett.|31|L18602|10.1029/2004GL020471| |Silver and Chan, 1991
153|Walker2004|Walker, K.T., Nyblade, A.A., Klemperer, S.L., Bokelmann, G.H.R., Owens, J.T.|2004|On the relationship between extension and anisotropy: Constraints from shear-wave splitting across the East African Plateau|J. Geophys. Res.|109|B08302|10.1029/2003JB002866| |Silver and Chan, 1991 - Wolfe and Silver 1998
154|Kaviani2009|Kaviani, A., Hatzfeld, D., Paul, A., Tatar, M., Priestley, K.|2009|Shear-wave splitting, lithospheric anisotropy, and mantle deformation beneath the Arabia-Eurasia collision zone in Iran|Earth Planet. Sci. Lett.|286|371-378|10.1016/j.epsl.2009.07.003| |rotation-correlation method (Bowman and Ando, 1987) in the SplitLab environment (Wuestefeld et al., 2008)
155|Kuo-Chen2009|Kuo-Chen, H., Wu, F.T., Okaya, D.A., Huang, B.S., Liang, W.T.|2009|SKS/SKKS splitting and Taiwan orogeny|Geoph. Res. Lett.|36| |10.1029/2009GL038148| |rotation correlation method (Bowman and Ando, 1987) in the SplitLab environment (Wustefeld et al., 2008)
156|Salimbeni2008|Salimbeni, S., Pondrelli, S., Margheriti, L., Park, J., Levin, V.|2008|SKS splitting measurements beneath Northern Apennines region: A case of oblique trench-retreat|Tectonophysics|462|68-82|10.1016/j.tecto.2007.11.075| |Splitting method from Sileny and Plomerova (1996)
157|Baccheschi2007|Baccheschi, P., Margheriti, L., Steckler, M.|2007|Seismic anisotropy reveals focused mantle flow around the Calabrian slab (Southern Italy)|Geophys. Res. Lett.|37|L05302|10.1029/2006GL028899|http://www.earth-prints.org/handle/2122/2065|Event lat, long, depth is in the Remark column
159|Plomerova2006|Plomerova, J., Margheriti, L., Park, J., Babuska, V., Pondrelli, S., Vecsey, L., Piccinini, D., Levin, V., Baccheschi, P., Salimbeni, S.|2006|Seismic anisotropy beneath the northern Apennines (Italy): mantle flow or lithospheric fabric?|Earth Planet. Sci. Lett.|247| |10.1016/j.epsl.2006.1004.1023| |Individual splitting, obtained with the Sileny and Plomerova (1996) method.
160|Long2010|Long, M.D., Gao, H., Klaus, A., Wagner, L.S., Fouch, M.J., James, D.E., Humphreys, E.D.|2010|Shear wave splitting and the pattern of mantle flow beneath eastern Oregon|Earth Planet. Sci. Lett.|288|359-369|10.1016/j.epsl.2009.09.039| |Splitting obtained by SplitLab (Wuestefeld et al., 2008)
161|Leon_Soto2010|Leon Soto, G., Ni, J.F., Grand, S.P., Sandvol, E., Valenzuela, R.W., Speziale, M.G., Gomez Gonzalez, J.M., DomÌnguez Reyes, T.|2009|Mantle flow in the Rivera-Cocos subduction zone|Geoph. J. Int.|179|1004-1012|10.1111/j.1365-246X.2009.04352.x| |Individual SKS splitting, Silver and Chan, 1991
162|Murdie1999|Murdie, R.E., Russo, R.M.|1999|Seismic anisotropy in the region of the Chile margin triple junction|J. S. Am. Earth Sci.|12|261-270| | |Silver and Chan (1991)
163|Hammond2010|Hammond, J.O.S., Wookey, J., Kaneshima, S., Inoue, H., Yamashina, T., Harjadi, P.|2010| Systematic variation in anisotropy beneath the mantle wedge in the Java-Sumatra subduction system from shear-wave splitting|Phys. Earth Planet. Int.|178|189-201|10.1016/j.pepi.2009.10.003| |Teanby et al. (2004) and Silver and Chan (1991)
164|Bonnin2010|Bonnin, M., Barruol, G., Bokelmann, G.H.R.|2010|Upper mantle deformation beneath the North American-Pacific plate boundary in California from SKS splitting.|J. Geophys. Res.|115| |10.1029/2009JB006438| |Splitting obtained by SplitLab (Wuestefeld et al., 2007) 
165|Eken2010|Eken, T., Plomerova, J., Roberts, R., Vecsey, L., Babuska, V., Shomali, H., Bodvarsson, R.|2010|Seismic anisotropy of the mantle lithosphere beneath the Swedish National Seismological Network (SNSN)|Tectonophysics|480|251-258|10.1016/j.tecto.2009.10.012| |Splitting measured with the method of Vecsey et al. (2008)
166|Biryol2010|Biryol, C.B., Zandt, G., Beck, S., Ozacar, A.A., Adiyaman, H.E., Gans, C.R.|2010|Shear wave splitting along a nascent plate boundary: the North Anatolian Fault Zone|Geoph. J. Int.|9999| |10.1111/j.1365-246X.2010.04576.x| |Splitting measured with SplitLab (Wuestefeld et al., 2008)
167|Salimbeni2010|Salimbeni, S., Pondrelli, S., Danesi, S., Morelli, A.|2010|Seismic anisotropy of the Victoria Land region, Antarctica|Geoph. J. Int.|182|421-432|10.1111/j.1365-246X.2010.04624.x| |Splitting measured with SplitLab (Wuestefeld et al., 2008)
168|Chen2010|Chen, W.P., Martin, M., Tseng, T.L., Nowack, R.L., Hung, S.H., Huang, B.S.|2010|Shear-wave birefringence and current configuration of converging lithosphere under Tibet|Earth Planet. Sci. Lett.|295|297-304|10.1016/j.epsl.2010.04.017| |Silver and Chan, 1991 - Wolfe and Silver 1998
169|Kumar2010|Kumar, N., Kumar, M.R., Singh, A., Solomon, R.P., Purnachandra, R.N.|2010| Shear wave anisotropy of the Godavari rift in the south Indian shield: Rift signature or APM related strain?|Phys. Earth Planet. Int.| | |10.1016/j.pepi.2010.05.002| |Silver and Chan (1991)
170|Frederiksen2007|Frederiksen, A.W., Miong, S.-K., Darbyshire, F.A., Eaton, D.W., Rondenay, S., Sol, S.|2007|Lithospheric Variations Across the Superior Province, Ontario, Canada: Evidence from Tomography and Shear-Wave Splitting|J. Geophys. Res.|112| |10.1029/2006JB004861| |Silver and Chan (1991), eigenvalue minimization, error surfaces stacked in equally-weighted back-azimuthal swaths
171|Eakin2010|Eakin, C.M., Obrebski, M., Allen, R.M., Boyarko, D.C., Brudzinski, M.R., Porrit, R.|2010|Seismic anisotropy beneath Cascadia and the Mendocino triple junction: Interaction of the subducting slab with mantle flow|Earth Planet. Sci. Lett.|297|627-632|10.1016/j.epsl.2010.07.015| | 
172|Diaz2010|Diaz, J., Gallart, J., Villasenor, A., Mancilla, F., Pazos, A., Cordoba, D., Pulgar, J., Ibarra, P., Harnafi, M.|2010|Mantle dynamics beneath the Gibraltar Arc (western Mediterranean) from shear-wave splitting measurements on a dense seismic array|Geophys. Res. Lett.|37(L18304)| |10.1029/2010GL044201| |Splitting measured with SplitLab (Wuestefeld et al., 2008), rotation-correlation method
173|BAI2010|Bai, L., Kawakatsu, H., Morita, Y.|2010|Two anisotropic layers in central orogenic belt of North China Craton|Tectonophysics|494|138-148|10.1016/j.tecto.2010.09.002|http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6V72-511JR72-2&_user=99318&_coverDate=10%2F29%2F2010&_rdoc=1&_fmt=high&_orig=search&_origin=search&_sort=d&_docanchor=&view=c&_searchStrId=1611317792&_rerunOrigin=google&_acct=C000007678&_version=1&_urlVersion=0&_userid=99318&md5=c912e1741a83da10623cbc5d896b6a99&searchtype=a|Silver and Chan (1991)
174|long2010|Long, M.D.|2010|Frequency-dependent shear wave splitting and heterogeneous anisotropic structure beneath the Gulf of California region|Phys. Earth Planet. Int.|182|59-72|10.1016/j.pepi.2010.06.005| |Splitting measured with SplitLab (Wuestefeld et al., 2008), eigen value and rotation-correlation method
175|Tang2010|Tang, Y., Chen, Y.J., Fu, Y.V., Wang, H., Zhou, S., Sandvol, E., Ning, J., Feng, Y., Liu, M.|2010|Mantle anisotropy across the southwestern boundary of the Ordos block, North China, Earthquake Science|Earthquake Science|23|549-553|10.1007/s11589-010-0754-2| |Silver and Chan (1991)
176|Chang2010|Chang, L.J., Wang, C.Y., Ding, Z.|2010|Upper mantle anisotropy in the Ordos Block and its margins|Science China| | |10.1007/s11430-010-4137-2| |Silver and Chan (1991)
177|Barruol2011|Barruol, G., Bonnin, M., Pedersen, H., Bokelmann, G.H.R., Tiberi, C.|2011|Belt-parallel mantle flow beneath a halted continental collision: the Western Alps|Earth Planet. Sci. Lett.|302|429-438|10.1016/j.epsl.2010.12.040| |Splitting measured with SplitLab (Wuestefeld et al., 2008), eigenvalue method
178|Ruan2002|Ruan, A.G., Wang, C.Y.|2002| The upper mantle anisotropy in Yunnan area, China|Acta Seismologica Sinica|15|276-284| | |Splitting measured with inversion method of Vinnik et al. (1989)
179|Growdon2009|Growdon, M.A., Pavlis, G.L., Niu, F., Vernon, F.L., Rendon, H.|2009|Constraints on mantle flow at the Caribbean - South American plate boundary inferred from shear wave splitting|J. Geophys. Res.|114| |10.1029/2008JB005887| |Silver and Chan (1991)
180|Chen2005|Chen, Y.P., Wang, L.S., Mi, N., Li, H., Yu, D.Y., Xu, M.J., Liu, S.W., Li, C., Xu, Z.|2005| Shear wave splitting observations in the Chinese Tianshan orogenic belt|Geophys. Res. Lett.|32| |10.1029/2004GL021686| |Silver and Chan (1991) and Wolfe and Silver (1998) for stacking
181|Hansen2006|Hansen, S., Schwartz, S., Ai-Amri, A., Rodgers, A.|2006|Combined plate motion and density-driven flow in the asthenosphere beneath Saudi Arabia: Evidence from shear-wave splitting and seismic anisotropy|Geology|34|869-872|10.1130/g22713.1| |Silver and Chan (1991)
183|Kaviani2011|Kaviani, A., Rumpker, G., Weber, M., Asch, G.|2011|Short-scale variations of shear-wave splitting across the Dead Sea basin: Evidence for the effects of sedimentary fill|Geophys. Res. Lett.|38| |10.1029/2010GL046464| |Silver and Chan (1991)
