place	country	sum	Albania	Armenia	Australia	Austria	Azerbaijan	Belgium	Bulgaria	Croatia	Cyprus	Czechia	Denmark	Estonia	Finland	France	Georgia	Germany	Greece	Israel	Italy	Latvia	Lithuania	Luxembourg	Malta	Moldova	Montenegro	Norway	Poland	Portugal	Romania	San Marino	Serbia	Sweden	Switzerland	Ukraine	UK	Rest of world
1	Bulgaria	204	3	10	12	0	5	4	0	4	10	4	12	7	0	7	3	7	6	8	3	4	12	8	12	7	5	3	10	0	4	8	7	5	4	0	10
2	Australia	165	1	12	0	7	0	10	8	7	5	6	4	0	7	5	0	5	7	12	0	0	0	10	8	4	0	7	7	0	12	0	2	8	6	2	3
2	Denmark	165	5	5	5	10	0	0	1	10	6	12	0	8	10	10	0	4	0	10	0	5	4	5	0	0	0	12	0	10	7	1	6	10	3	0	6
4	France	144	4	8	10	4	0	5	0	3	3	3	3	0	12	0	12	6	8	0	0	6	1	6	7	2	0	10	0	5	0	0	0	2	7	5	12
5	Finland	141	0	2	4	6	0	8	0	6	4	7	8	12	0	2	7	8	0	7	0	3	5	3	5	0	7	8	0	7	0	2	0	12	0	6	2
6	Italy	134	12	0	1	2	12	6	6	0	1	0	6	6	3	8	10	10	0	3	0	0	0	0	10	1	3	5	2	0	0	10	10	3	0	4	0
7	Poland	133	0	1	8	12	0	12	0	2	0	5	0	5	6	0	2	12	10	0	6	8	10	0	1	12	1	0	0	6	0	0	1	0	8	0	5
8	Israel	123	8	7	0	8	4	1	7	5	0	2	7	0	0	4	6	3	0	0	0	0	8	0	4	10	0	1	12	0	6	4	4	0	2	10	0
9	Norway	115	10	6	6	3	0	7	3	0	0	10	0	10	0	12	5	0	0	0	0	0	7	4	2	6	0	0	3	2	5	0	5	0	5	0	4
10	Czechia	104	7	4	7	5	1	0	4	0	2	0	5	1	2	0	1	0	0	0	0	12	2	0	0	5	0	2	4	0	8	0	0	7	10	7	8
11	Malta	81	6	0	0	0	2	0	12	0	7	1	0	0	0	3	4	0	0	0	8	0	0	2	0	0	0	0	0	0	3	12	8	0	0	12	1
12	Greece	73	2	3	2	1	0	0	0	0	12	0	0	3	0	0	0	0	0	5	0	1	0	0	0	8	6	0	8	0	0	6	12	4	0	0	0
13	Romania	64	0	0	0	0	3	0	0	0	0	8	1	0	0	0	0	0	2	4	5	2	0	12	0	3	0	6	5	1	0	7	0	1	1	3	0
14	Albania	60	0	0	0	0	6	3	0	8	8	0	0	0	0	0	0	0	1	1	0	0	0	0	6	0	10	0	0	12	0	5	0	0	0	0	0
15	Ukraine	54	0	0	0	0	10	0	0	0	0	0	0	0	0	6	0	0	0	0	7	7	0	0	0	0	0	0	1	3	1	0	0	0	12	0	7
16	Croatia	53	0	0	0	0	7	0	0	0	0	0	0	4	5	0	0	2	4	0	0	0	0	7	0	0	8	0	0	8	2	0	0	6	0	0	0
17	Moldova	43	0	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	3	6	1	0	3	0	0	0	2	0	0	0	10	0	3	0	0	8	0
18	Cyprus	41	0	0	3	0	0	0	10	0	0	0	2	0	0	0	8	0	12	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0
19	Serbia	38	0	0	0	0	8	0	0	12	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
20	Belgium	36	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	2	12	10	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
21	Sweden	35	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	10	0	6	0	0	0	4	4	0	0	0	0	0	0	0	0	0
22	Germany	12	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
23	Lithuania	10	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	Austria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
24	UK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
